timestamp,ref,val,knn,threshold,n-box,acc-full,acc-bbox,mAP,memo,AP0,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,FP0,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,FP9,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,TP0,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30
2019-11-12 12:11:08.127155,no-masked-trimed,frontview,False,0.83,200,0.3808463215827942,0.7171491980552673,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:11:50.362889,no-masked-trimed,frontview2,True,0.83,200,0.13903743028640747,0.5213522911071777,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:12:31.221900,no-masked-trimed,frontview2,False,0.83,200,0.1140819936990738,0.5391458868980408,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:13:04.070253,no-masked-trimed,office,True,0.83,200,0.08917197585105896,0.443736732006073,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:13:35.209401,no-masked-trimed,office,False,0.83,200,0.13800424337387085,0.4798301458358765,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:14:05.860535,masked-trimed,wall,True,0.83,200,0.392550140619278,0.5128939747810364,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:14:36.632662,masked-trimed,wall,False,0.83,200,0.4842406809329986,0.6160458326339722,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:15:23.364920,masked-trimed,floor,True,0.83,200,0.3273480534553528,0.4904831647872925,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:16:10.630498,masked-trimed,floor,False,0.83,200,0.3135358989238739,0.4670571088790894,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-12 12:16:45.990694,masked-trimed,frontview,True,0.83,200,0.39643651247024536,0.5412026643753052,-1.0,"slidwindow n=3, mode=first",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
